Pod,Unix Timestamp,Cpu usage
adservice-one,1740681008,0.088557565
adservice-one,1740681068,0.033590564
adservice-one,1740681128,0.07424008
adservice-one,1740681188,0.04228712
adservice-one,1740681248,0.053299743
adservice-one,1740681308,0.091177565
adservice-one,1740681368,0.015376709
adservice-one,1740681428,0.001523911
adservice-one,1740681488,0.109873642
adservice-one,1740681548,0.020288385
adservice-one,1740681608,0.00155669
adservice-one,1740681668,0.001804821
adservice-one,1740681728,0.080791874
adservice-one,1740681788,0.075364608
adservice-one,1740681848,0.001566204
adservice-one,1740681908,0.001594988
adservice-one,1740681968,0.001626349
adservice-one,1740682028,0.001650515
adservice-one,1740682088,0.044016686
adservice-one,1740682148,0.168955701
adservice-one,1740682208,0.001662368
adservice-one,1740682268,0.001636598
adservice-one,1740682328,0.001541779
adservice-one,1740682388,0.001490066
adservice-one,1740682448,0.001492828
adservice-one,1740682508,0.100842339
adservice-one,1740682568,0.047124968
adservice-one,1740682628,0.001527342
adservice-one,1740682688,0.001227138
adservice-one,1740682748,0.001580968
adservice-one,1740682808,0.0014638
adservice-one,1740682868,0.001582348
adservice-one,1740682928,0.081324123
adservice-one,1740682988,0.047959911
adservice-one,1740683048,0.001501332
adservice-one,1740683108,0.001550602
adservice-one,1740683168,0.001567074
adservice-one,1740683228,0.001569814
adservice-one,1740683288,0.02509412
adservice-one,1740683348,0.1349324
adservice-one,1740683408,0.001655012
adservice-one,1740683468,0.001541913
adservice-one,1740683528,0.001680635
adservice-one,1740683588,0.001617243
adservice-one,1740683648,0.001287905
adservice-one,1740683708,0.073968962
adservice-one,1740683768,0.0523163
adservice-one,1740683828,0.001598792
adservice-one,1740683888,0.001499879
adservice-one,1740683948,0.001637537
adservice-one,1740684008,0.00159359
adservice-one,1740684068,0.001642913
adservice-one,1740684128,0.095608326
adservice-one,1740684188,0.001051416
adservice-one,1740684248,0.001569702
adservice-one,1740684308,0.001527827
adservice-one,1740684368,0.001525418
adservice-one,1740684428,0.001568893
adservice-one,1740684488,0.048604794
adservice-one,1740684548,0.017785139
adservice-one,1740684608,0.001600552
adservice-one,1740684668,0.001334932
adservice-one,1740684728,0.001519902
adservice-one,1740684788,0.001422181
adservice-one,1740684848,0.068538547
adservice-one,1740684908,0.067785441
adservice-one,1740684968,0.00652032
adservice-one,1740685028,0.000964843
adservice-one,1740685088,0.001765108
adservice-one,1740685148,0.001485071
adservice-one,1740685208,0.001607401
adservice-one,1740685268,0.09931831
adservice-one,1740685328,0.075061788
adservice-one,1740685388,0.00161481
adservice-one,1740685448,0.001633576
adservice-one,1740685508,0.000945228
adservice-one,1740685568,0.001443852
adservice-one,1740685628,0.001489404
cartservice-one,1740681008,0.050027946
cartservice-one,1740681068,0.052981899
cartservice-one,1740681128,0.062978159
cartservice-one,1740681188,0.068002572
cartservice-one,1740681248,0.057662978
cartservice-one,1740681308,0.0707249
cartservice-one,1740681368,0.080766925
cartservice-one,1740681428,0.092902618
cartservice-one,1740681488,0.08953666
cartservice-one,1740681548,0.095417817
