service,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,timestamp
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,60.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,60.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,60.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,60.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,60.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,60.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,120.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,120.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,120.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,120.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,120.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,120.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,180.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,180.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,180.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,180.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,180.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,180.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,240.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,240.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,240.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,240.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,240.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,240.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,300.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,300.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,300.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,300.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,300.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,300.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,360.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,360.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,360.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,360.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,360.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,360.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,420.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,420.290887006
0.18044516975,0.15434909,0.119359136,-0.034767807,0.03916243,0.02444534,0.121923774,0.006565664,-0.09210785,-0.11922301,-0.12799096,420.290887006
86223872.0,0.16690835,0.13082714,-0.0738682,0.052933805,-0.016119614,0.13987473,-0.00047969725,-0.113847055,-0.1487715,-0.12917605,420.290887006
0.162834971,0.13751955,0.11373153,-0.042247668,0.024727594,0.023999698,0.11856185,0.021038786,-0.100636296,-0.116746016,-0.13045569,420.290887006
87977984.0,0.1314234,0.10617921,-0.030395217,0.014644319,0.04217501,0.11054533,0.029663935,-0.093059324,-0.106767006,-0.13437319,420.290887006
0.104200083,0.1307839,0.10904889,0.040891126,0.024783548,0.07269312,0.08034706,0.0024082512,-0.063944824,-0.07582261,-0.11185214,480.290887006
79523840.0,0.13510762,0.10691501,0.013296664,0.02112771,0.06565234,0.096255064,0.013228323,-0.071946114,-0.08585712,-0.12272388,480.290887006
